Title,Author,Series,Series_Number,Topic/Genre,Location,Coppies
Hooray for Anna Hibiscus!,Atinuke,Anna Hibiscus,2,N/A,"3rd Grade, A",1
Good Luck Anna Hibiscus!,Atinuke,Anna Hibiscus,3,N/A,"3rd Grade, A",1
Have Fun Anna Hibiscus!,Atinuke,Anna Hibiscus,4,N/A,"3rd Grade, A",1
Amy and the Missing Puppy,"Barkley, Callie",Critter Club,1,N/A,"3rd Grade,  B",1
A Pony for Keeps,"Betancourt, Jeanne",Pony Pals,2,N/A,"3rd Grade,  B",1
The Burglar Who Bit the Big Apple,"Brezenoff, Steve",Field Trip Mysteries,N/A,N/A,"3rd Grade,  B",1
Superfudge,"Blume, Judy",The Fudge Books,N/A,N/A,"3rd Grade,  B",2
Double Fudge,"Blume, Judy",The Fudge Books,N/A,N/A,"3rd Grade,  B",3
Pumpkin the Hamster,"Clarke, Jane",Dr. Kitty Cat,6,N/A,"3rd Grade,  C",1
Amazing Magnetism,"Carmi, Rebecca",The Magic School Bus,12,N/A,"3rd Grade,  C",1
Runway Ralph,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Ramona the Pest,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",3
Muggie Maggie,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Ralph S. Mouse,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",2
Socks,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",2
Ramona the Brave,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Ramona and her Father,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Ramona and her Mother,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
"Ramona Quimbly, Age 8","Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",2
Ramona's World,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Henry Huggins,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Henry and Ribsy,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Henry and Beezus,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
The Mouse and the Motorcycle,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Ribsy,"Cleary, Beverly",Beverly Cleary Books,N/A,N/A,"3rd Grade,  C",1
Cornbread & Poppy at the Museum,"Cordell, Matthew",Cornbread & Poppy,N/A,N/A,"3rd Grade,  C",1
A House for Hermit Crab,"Carle, Eric",N/A,N/A,N/A,"3rd Grade,  C",1
